time,frequency,confidence
2.450,148.793,0.878184
2.460,148.773,0.875757
2.470,148.243,0.877386
2.480,147.942,0.876248
2.490,147.884,0.887767
2.500,147.450,0.887644
2.510,147.546,0.886340
2.520,147.585,0.905776
2.530,147.422,0.900471
2.540,147.271,0.894829
2.550,147.019,0.864006
2.560,146.616,0.760834
2.570,146.608,0.711783
2.580,146.760,0.728139
2.590,147.005,0.779998
2.600,147.209,0.844269
2.610,147.595,0.847029
2.620,147.738,0.829561
2.630,147.827,0.844706
2.640,147.647,0.839992
2.650,147.622,0.843004
2.660,147.808,0.853609
2.670,147.834,0.860382
2.680,147.797,0.817474
2.690,147.811,0.854250
2.700,147.746,0.852392
2.710,147.402,0.838671
2.720,147.422,0.851656
2.730,147.734,0.863991
2.740,147.974,0.844501
2.750,147.734,0.851919
2.760,147.543,0.871433
2.770,147.453,0.867339
2.780,147.525,0.868229
2.790,147.243,0.841619
2.800,147.043,0.863331
2.810,147.285,0.869674
2.820,147.684,0.848773
2.830,147.506,0.854999
2.840,147.357,0.877003
2.850,147.804,0.866105
2.860,148.197,0.849520
2.870,148.764,0.810083
2.880,149.725,0.860163
2.890,150.240,0.882228
2.900,150.598,0.907210
2.910,151.271,0.916895
2.920,151.449,0.901682
2.930,151.516,0.903556
2.940,151.417,0.914877
2.950,151.721,0.894794
2.960,151.523,0.909272
2.970,151.155,0.910379
2.980,150.749,0.907375
2.990,150.433,0.906211
3.000,149.706,0.897694
3.010,149.319,0.909771
3.020,148.931,0.897076
3.030,148.704,0.909090
3.040,148.539,0.893704
3.050,148.449,0.883191
3.060,148.640,0.885102
3.070,148.459,0.884150
3.080,148.598,0.869204
3.090,148.732,0.884560
3.100,148.866,0.909910
3.110,149.247,0.901956
3.120,149.305,0.923100
3.130,148.865,0.909184
3.140,148.399,0.894638
3.150,148.412,0.896258
3.160,148.316,0.900505
3.170,148.219,0.908643
3.180,147.990,0.899071
3.190,147.087,0.897441
3.200,145.907,0.864452
3.210,144.528,0.821701
3.220,143.820,0.815959
3.230,143.480,0.789475
3.240,143.045,0.820665
3.250,143.174,0.813778
3.260,143.739,0.822334
3.270,144.383,0.825484
