time,frequency,confidence
2.500,296.149,0.785288
2.510,295.497,0.888706
2.520,294.043,0.918831
2.530,294.714,0.935609
2.540,295.149,0.944851
2.550,295.465,0.938208
2.560,295.959,0.931074
2.570,296.256,0.906169
2.580,296.241,0.928808
2.590,295.796,0.947497
2.600,294.938,0.951261
2.610,294.701,0.959894
2.620,294.824,0.963158
2.630,294.609,0.960079
2.640,294.501,0.960034
2.650,294.740,0.960264
2.660,294.492,0.956148
2.670,294.596,0.963103
2.680,294.700,0.955852
2.690,294.690,0.943667
2.700,294.655,0.930118
2.710,294.655,0.882949
2.720,294.306,0.846097
2.730,293.416,0.783725
2.740,294.276,0.559481
2.750,262.973,0.625779
2.760,262.932,0.631938
2.770,263.285,0.724084
2.780,262.983,0.821294
2.790,263.056,0.913353
2.800,262.843,0.949444
2.810,262.477,0.955798
2.820,262.147,0.958555
2.830,262.437,0.961679
2.840,262.507,0.963483
2.850,262.246,0.967435
2.860,262.454,0.966964
2.870,262.380,0.966826
2.880,262.043,0.969270
2.890,262.317,0.966401
2.900,262.276,0.968529
2.910,262.080,0.966931
2.920,262.129,0.966668
2.930,262.092,0.966392
2.940,262.032,0.967196
2.950,262.085,0.965941
2.960,262.092,0.967372
2.970,262.097,0.965531
2.980,262.147,0.970949
2.990,262.235,0.968365
3.000,262.040,0.968064
3.010,262.103,0.969917
3.020,262.189,0.968718
3.030,262.160,0.971119
3.040,262.079,0.973508
3.050,262.159,0.968502
3.060,262.090,0.966738
3.070,262.035,0.965454
3.080,262.075,0.965082
3.090,262.043,0.966152
3.100,261.929,0.964669
3.110,261.894,0.965178
3.120,261.526,0.959545
3.130,261.317,0.956181
3.140,261.425,0.958146
3.150,261.660,0.954659
3.160,261.945,0.932840
3.170,259.740,0.793593
3.180,258.490,0.309801
3.190,119.990,0.352365
3.200,119.534,0.173495
3.210,118.445,0.122851
3.220,264.950,0.142814
3.230,262.770,0.644712
3.240,263.172,0.817481
3.250,262.580,0.876495
3.260,262.439,0.850577
3.270,262.461,0.833139
3.280,262.550,0.930390
3.290,262.774,0.941552
3.300,262.535,0.959674
3.310,262.406,0.961203
3.320,262.414,0.963013
3.330,262.456,0.966180
3.340,262.457,0.964060
3.350,262.528,0.962462
3.360,262.503,0.968711
3.370,262.567,0.966139
3.380,262.450,0.968925
3.390,262.450,0.965519
3.400,262.280,0.965856
3.410,262.190,0.967170
3.420,262.177,0.963747
3.430,262.189,0.962492
3.440,262.160,0.962977
3.450,262.307,0.960307
3.460,262.322,0.962536
3.470,262.338,0.958851
3.480,262.199,0.961639
3.490,262.242,0.965989
3.500,262.322,0.962919
3.510,262.352,0.968025
3.520,262.260,0.967706
3.530,262.231,0.968232
3.540,262.087,0.967073
3.550,262.141,0.965495
3.560,262.166,0.967303
3.570,262.165,0.968228
3.580,262.235,0.966797
3.590,262.191,0.967174
3.600,262.027,0.962054
3.610,261.970,0.962945
3.620,261.932,0.962470
3.630,262.085,0.964677
3.640,262.184,0.966014
3.650,262.091,0.968198
3.660,262.113,0.967792
3.670,262.048,0.966453
3.680,261.987,0.964864
3.690,261.874,0.958470
3.700,262.084,0.950460
3.710,262.072,0.930136
3.720,262.178,0.934989
3.730,262.219,0.910512
3.740,262.436,0.938367
3.750,262.362,0.928101
3.760,262.181,0.874919
3.770,261.823,0.637588
3.780,261.869,0.562867
3.790,393.192,0.650684
3.800,393.642,0.688331
3.810,393.837,0.665703
3.820,393.984,0.567798
3.830,393.872,0.431175
3.840,393.769,0.495803
3.850,394.643,0.519977
3.860,394.442,0.623500
3.870,393.818,0.735463
3.880,393.350,0.647045
3.890,393.395,0.702377
3.900,393.797,0.707201
3.910,394.172,0.482510
3.920,394.347,0.569116
3.930,394.261,0.527086
3.940,394.075,0.566363
3.950,393.635,0.780835
3.960,393.410,0.736690
3.970,393.499,0.807175
3.980,393.400,0.858635
3.990,393.464,0.837059
4.000,393.378,0.857036
4.010,393.590,0.816767
4.020,394.099,0.880339
4.030,393.791,0.896121
4.040,393.519,0.910352
4.050,393.654,0.903521
4.060,393.529,0.897038
4.070,393.529,0.865716
4.080,393.528,0.900886
4.090,393.761,0.877818
4.100,393.634,0.895843
4.110,393.884,0.889407
4.120,394.078,0.892742
4.130,394.278,0.848300
4.140,393.950,0.740715
4.150,393.722,0.507799
4.160,393.618,0.600670
4.170,393.930,0.608306
4.180,394.081,0.567832
4.190,393.503,0.426004
4.200,393.544,0.437799
4.210,394.126,0.382752
4.220,131.580,0.481631
4.230,394.734,0.356937
4.240,371.800,0.370392
4.250,386.864,0.695885
4.260,389.705,0.878401
4.270,392.222,0.922542
4.280,392.467,0.940375
4.290,392.875,0.958769
4.300,392.912,0.962927
4.310,392.762,0.964378
4.320,392.709,0.964264
4.330,392.939,0.963370
4.340,392.986,0.967528
4.350,393.335,0.965519
4.360,392.878,0.961354
4.370,392.482,0.963210
4.380,392.424,0.962325
4.390,392.289,0.952348
4.400,392.263,0.949482
4.410,392.384,0.945691
4.420,392.587,0.949453
4.430,392.848,0.952100
4.440,392.799,0.952764
4.450,392.313,0.948084
4.460,392.214,0.947263
4.470,392.205,0.954494
4.480,392.423,0.955801
4.490,392.524,0.957973
4.500,392.558,0.959073
4.510,392.449,0.955084
4.520,392.558,0.954728
4.530,392.409,0.950114
4.540,392.539,0.946973
4.550,392.459,0.941401
4.560,392.304,0.941017
4.570,392.435,0.948716
4.580,392.315,0.946912
4.590,392.464,0.947495
4.600,392.859,0.953047
4.610,392.700,0.954759
4.620,392.971,0.950530
4.630,392.714,0.955328
4.640,392.267,0.951578
4.650,392.261,0.948342
4.660,392.237,0.952348
4.670,392.499,0.935700
4.680,392.697,0.919756
4.690,392.975,0.904339
4.700,393.139,0.906776
4.710,393.442,0.905919
4.720,393.375,0.829227
4.730,390.536,0.482440
4.740,332.705,0.492271
4.750,332.022,0.754340
4.760,332.078,0.840112
4.770,332.343,0.861313
4.780,331.728,0.913405
4.790,330.872,0.953321
4.800,330.224,0.959826
4.810,329.765,0.951576
4.820,329.585,0.950104
4.830,329.760,0.962498
4.840,330.268,0.972073
4.850,330.476,0.976676
4.860,330.344,0.975502
4.870,330.280,0.975075
4.880,330.248,0.974600
4.890,330.103,0.975482
4.900,329.847,0.970080
4.910,329.729,0.968290
4.920,330.105,0.972713
4.930,330.134,0.968763
4.940,330.239,0.957484
4.950,330.433,0.955331
4.960,330.168,0.960804
4.970,329.886,0.952393
4.980,329.365,0.926340
4.990,329.025,0.755012
5.000,295.487,0.565790
5.010,294.480,0.812503
5.020,294.246,0.838308
5.030,295.555,0.839471
5.040,296.230,0.799155
5.050,296.810,0.828442
5.060,297.326,0.814151
5.070,296.219,0.853438
5.080,295.453,0.876051
5.090,295.057,0.892835
5.100,294.901,0.892684
5.110,294.678,0.908347
5.120,294.844,0.922152
5.130,293.897,0.915403
5.140,293.807,0.940677
5.150,294.440,0.946417
5.160,294.483,0.946466
5.170,294.901,0.955790
5.180,294.698,0.955505
5.190,294.268,0.963089
5.200,294.379,0.960655
5.210,294.848,0.962736
5.220,295.173,0.968101
5.230,295.257,0.963057
