time,frequency,confidence
2.500,336.077,0.905186
2.510,336.252,0.888668
2.520,336.461,0.883912
2.530,336.291,0.899972
2.540,336.065,0.909408
2.550,335.812,0.918553
2.560,335.493,0.919161
2.570,336.436,0.908027
2.580,336.789,0.906648
2.590,336.403,0.902692
2.600,336.049,0.916927
2.610,335.734,0.924531
2.620,335.571,0.931437
2.630,335.349,0.951912
2.640,335.018,0.954408
2.650,334.837,0.957629
2.660,334.521,0.954601
2.670,333.807,0.949192
2.680,333.412,0.947833
2.690,333.269,0.941827
2.700,332.686,0.931400
2.710,332.707,0.934209
2.720,332.756,0.922657
2.730,332.621,0.922305
2.740,332.818,0.921593
2.750,333.990,0.933436
2.760,334.691,0.936011
2.770,334.968,0.941081
2.780,334.954,0.936412
2.790,335.388,0.914728
2.800,335.376,0.936530
2.810,335.284,0.944311
2.820,334.939,0.949767
2.830,334.268,0.947540
2.840,334.170,0.952068
2.850,334.053,0.943055
2.860,333.756,0.936757
2.870,333.639,0.943093
2.880,333.723,0.945386
2.890,333.676,0.938727
2.900,333.226,0.930490
2.910,334.060,0.935488
2.920,333.894,0.936478
2.930,333.960,0.942445
2.940,334.185,0.932012
2.950,333.679,0.910480
2.960,333.270,0.906868
2.970,333.361,0.927768
2.980,333.592,0.921408
2.990,333.999,0.930538
3.000,334.497,0.932284
3.010,334.902,0.940851
3.020,335.090,0.940075
3.030,335.014,0.944359
3.040,334.812,0.938187
3.050,334.529,0.936962
3.060,334.319,0.948183
3.070,334.401,0.949863
3.080,334.192,0.947279
3.090,333.497,0.942991
3.100,332.419,0.927187
3.110,332.135,0.928613
3.120,331.935,0.926957
3.130,331.925,0.926944
3.140,331.850,0.908807
3.150,331.495,0.928835
3.160,332.987,0.893419
3.170,333.475,0.918935
3.180,332.948,0.926373
3.190,332.790,0.942048
3.200,333.341,0.931985
3.210,333.436,0.937183
3.220,333.096,0.930774
3.230,333.320,0.922073
3.240,333.838,0.906224
3.250,334.200,0.901163
3.260,334.849,0.932740
3.270,334.581,0.940764
3.280,335.321,0.932513
3.290,336.115,0.921428
3.300,336.000,0.904456
3.310,335.441,0.889865
3.320,335.393,0.907000
3.330,335.092,0.924681
3.340,334.748,0.921407
3.350,335.192,0.933704
3.360,335.272,0.922302
3.370,335.522,0.922500
3.380,335.704,0.920368
3.390,335.391,0.929552
3.400,335.513,0.940955
3.410,335.597,0.930683
3.420,335.479,0.935332
3.430,335.147,0.941920
3.440,334.544,0.938058
3.450,334.568,0.933928
3.460,334.375,0.938051
3.470,334.716,0.941367
3.480,334.086,0.946803
3.490,334.051,0.934819
3.500,334.836,0.931836
3.510,335.201,0.942111
3.520,334.700,0.938394
3.530,335.047,0.925655
3.540,335.176,0.926410
3.550,335.475,0.936572
3.560,335.577,0.930018
3.570,335.455,0.934852
3.580,335.591,0.934998
3.590,335.563,0.924422
3.600,335.344,0.929234
3.610,335.403,0.934016
3.620,335.194,0.945089
3.630,335.511,0.938244
3.640,335.450,0.920405
3.650,335.722,0.920209
3.660,335.215,0.943832
3.670,335.059,0.951829
3.680,335.701,0.931308
3.690,335.263,0.927944
3.700,334.479,0.927876
3.710,334.916,0.933399
3.720,334.639,0.935450
3.730,334.559,0.926858
3.740,335.796,0.916327
3.750,335.974,0.921314
3.760,336.216,0.912739
3.770,336.309,0.914210
3.780,336.325,0.904875
3.790,336.395,0.898726
3.800,336.557,0.920945
3.810,336.697,0.922944
3.820,336.444,0.899325
3.830,335.709,0.911443
3.840,334.839,0.919475
3.850,333.085,0.932397
3.860,329.715,0.885248
3.870,324.360,0.698162
3.880,314.545,0.630131
3.890,307.929,0.877273
3.900,304.825,0.852348
3.910,301.726,0.888314
3.920,298.729,0.908478
3.930,296.427,0.921105
3.940,295.831,0.928612
3.950,296.387,0.879803
3.960,297.004,0.897207
3.970,297.293,0.910785
3.980,298.099,0.933838
3.990,298.777,0.942535
4.000,299.897,0.914512
4.010,299.641,0.912555
4.020,299.390,0.908486
4.030,298.227,0.914323
4.040,297.317,0.911223
4.050,297.094,0.899911
4.060,296.700,0.901906
4.070,295.321,0.937277
4.080,294.850,0.956995
4.090,295.064,0.951012
4.100,295.630,0.942957
4.110,297.150,0.923682
4.120,298.840,0.936844
4.130,299.850,0.912054
4.140,301.300,0.941896
4.150,301.918,0.949905
4.160,301.877,0.945572
4.170,301.850,0.942860
4.180,301.935,0.933606
4.190,301.950,0.925833
4.200,301.753,0.914399
4.210,301.627,0.902658
4.220,301.449,0.892784
4.230,301.179,0.912526
4.240,301.003,0.924415
4.250,301.270,0.931511
4.260,300.640,0.901074
4.270,300.416,0.888401
4.280,300.520,0.901091
4.290,300.735,0.898643
4.300,300.202,0.890948
4.310,300.080,0.886009
4.320,300.206,0.870330
4.330,300.122,0.883797
4.340,300.424,0.899050
4.350,301.029,0.903763
4.360,300.946,0.913154
4.370,300.620,0.897755
4.380,301.034,0.908398
4.390,301.133,0.905796
4.400,302.250,0.944629
4.410,302.434,0.941299
4.420,302.249,0.946581
4.430,302.130,0.952430
4.440,301.967,0.954465
4.450,302.318,0.942395
4.460,301.931,0.924877
4.470,301.207,0.915266
4.480,300.488,0.861755
4.490,300.529,0.864978
4.500,299.922,0.871161
4.510,299.614,0.882095
4.520,299.448,0.912506
4.530,299.721,0.901955
4.540,299.878,0.889948
4.550,300.270,0.893301
4.560,300.987,0.924554
4.570,301.736,0.936987
4.580,301.807,0.927440
4.590,301.549,0.942245
4.600,301.788,0.951823
4.610,301.873,0.946078
4.620,301.552,0.928575
